time,open,high,low,close
1680724800,28237.9,28300,28128.8,28169.5
1680739200,28167.9,28180.7,27881.4,28131.7
1680753600,28131.7,28133.3,27907.1,27907.1
1680768000,27908.6,28023.9,27697.5,27949.8
1680782400,27949.8,28183.3,27748.3,28097.5
1680796800,28099.9,28165.1,27952.6,28018.1
1680811200,28016.1,28124.4,27897.2,28034.8
1680825600,28034.7,28103.7,27931,28039
1680840000,28039.1,28068.4,27770.5,27836.1
1680854400,27836.4,27966.8,27792.9,27840
1680868800,27840,28000,27796.4,27945.9
1680883200,27944.5,27954.4,27859,27902.8
1680897600,27903,27981,27839.3,27906.6
1680912000,27906.6,28064.8,27862.5,28021.4
1680926400,28021.5,28155.7,27976.8,28085.4
1680940800,28085.4,28116.5,27991.6,28011.9
1680955200,28012,28054.3,27948.1,28013.9
1680969600,28014,28024,27869.1,27920.7
1680984000,27920.7,27984.5,27883.7,27940
1680998400,27940.1,28088.1,27924.6,28028.6
1681012800,28028.6,28074.1,27837.3,27904.5
